QGC WPL 110
1	1	0	16	0	0	0	0	1.950288649872086211e+01    -9.914329111576081743e+01    50	1
2	1	3	16	0	0	0	0	1.950276061872185451e+01    -9.914323853856166124e+01    50	1
3	1	3	16	0	0	0	0	1.950261061678810748e+01    -9.914260769121442252e+01    50	1
4	1	3	16	0	0	0	0	1.950259632561798639e+01    -9.914254758885969920e+01    50	1
5	1	3	16	0	0	0	0	1.950259632561798639e+01    -9.914254758885969920e+01    50	1
6	1	3	16	0	0	0	0	1.950250873373638072e+01    -9.914257075101414785e+01    50	1
7	1	3	16	0	0	0	0	1.950250873373638072e+01    -9.914257075101414785e+01    50	1
8	1	3	16	0	0	0	0	1.950267566838066102e+01    -9.914327281004750603e+01    50	1
9	1	3	16	0	0	0	0	1.950267830999820973e+01    -9.914328391973729993e+01    50	1
10	1	3	16	0	0	0	0	1.950259071802314637e+01    -9.914330708149756788e+01    50	1
11	1	3	16	0	0	0	0	1.950259071802314637e+01    -9.914330708149756788e+01    50	1
12	1	3	16	0	0	0	0	1.950240685067596402e+01    -9.914253381085060823e+01    50	1
13	1	3	16	0	0	0	0	1.950239255947196426e+01    -9.914247370857762576e+01    50	1
14	1	3	16	0	0	0	0	1.950239255947196426e+01    -9.914247370857762576e+01    50	1
15	1	3	16	0	0	0	0	1.950230496759784771e+01    -9.914249687073332495e+01    50	1
16	1	3	16	0	0	0	0	1.950230496759784771e+01    -9.914249687073332495e+01    50	1
17	1	3	16	0	0	0	0	1.950250576766738320e+01    -9.914334135291186101e+01    50	1
18	1	3	16	0	0	0	0	1.950250576766738320e+01    -9.914334135291186101e+01    50	1
19	1	3	16	0	0	0	0	1.950241817568330660e+01    -9.914336451461664979e+01    50	1
20	1	3	16	0	0	0	0	1.950240297656248245e+01    -9.914330059272236895e+01    50	1
21	1	3	16	0	0	0	0	1.950223200537251600e+01    -9.914258155848655463e+01    50	1
22	1	3	16	0	0	0	0	1.950223200537251600e+01    -9.914258155848655463e+01    50	1
23	1	3	16	0	0	0	0	1.950214441348304462e+01    -9.914260472056132301e+01    50	1
24	1	3	16	0	0	0	0	1.950217994496647833e+01    -9.914275415019662319e+01    50	1
25	1	3	16	0	0	0	0	1.950225320846462651e+01    -9.914306226577430436e+01    50	1
26	1	3	16	0	0	0	0	1.950225320846462651e+01    -9.914306226577430436e+01    50	1
27	1	3	16	0	0	0	0	1.950216561651384239e+01    -9.914308542759339105e+01    50	1
28	1	3	16	0	0	0	0	1.950213452832492322e+01    -9.914295468339463469e+01    50	1
29	1	3	16	0	0	0	0	1.950211011874494815e+01    -9.914285202697553245e+01    50	1
30	1	3	16	0	0	0	0	1.950217123750326209e+01    -9.914264493029990888e+01    50	1
